s,I
0.015415415415415416,0.009074349984257601
0.015465465465465466,0.009000805568261341
0.015515515515515516,0.008927687077037796
0.015565565565565565,0.00885499528952055
0.015615615615615615,0.008782730899416084
0.015665665665665667,0.008710894517202854
0.015715715715715714,0.00863948667209384
0.015765765765765764,0.00856850781396316
0.015815815815815815,0.008497958315237327
0.015865865865865865,0.008427838472751744
0.015915915915915915,0.008358148509573005
0.015965965965965966,0.008288888576787562
0.016016016016016016,0.008220058755257314
0.016066066066066066,0.008151659057342685
0.016116116116116116,0.00808368942859367
0.016166166166166167,0.008016149749409457
0.016216216216216217,0.00794903983666707
0.016266266266266267,0.007882359445319625
0.016316316316316318,0.00781610826996462
0.016366366366366368,0.00775028594638282
0.016416416416416415,0.007684892053048196
0.016466466466466465,0.0076199261126094105
0.016516516516516516,0.00755538759334332
0.016566566566566566,0.007491275910580959
0.016616616616616616,0.007427590428106467
0.016666666666666666,0.007364330459529425
0.016716716716716717,0.007301495269631007
0.016766766766766767,0.00723908407568444
0.016816816816816817,0.00717709604875016
0.016866866866866868,0.007115530314946103
0.016916916916916918,0.00705438595669356
0.01696696696696697,0.006993662013938985
0.01701701701701702,0.0069333574853521875
0.017067067067067065,0.006873471329501284
0.017117117117117116,0.006814002466004817
0.017167167167167166,0.00675494977666142
0.017217217217217216,0.006696312106557411
0.017267267267267267,0.006638088265152689
0.017317317317317317,0.006580277027345309
0.017367367367367367,0.006522877134515072
0.017417417417417418,0.006465887295546525
0.017467467467467468,0.006409306187831694
0.017517517517517518,0.0063531324582529036
0.01756756756756757,0.006297364724146027
0.01761761761761762,0.006242001574244492
0.01766766766766767,0.006187041569604389
0.017717717717717716,0.006132483244510991
0.017767767767767766,0.006078325107366995
0.017817817817817817,0.006024565641562843
0.017867867867867867,0.005971203306329364
0.017917917917917917,0.005918236537573113
0.017967967967967968,0.005865663748694646
0.018018018018018018,0.005813483331390066
0.018068068068068068,0.005761693656436109
0.01811811811811812,0.005710293074459064
0.01816816816816817,0.005659279916687805
0.01821821821821822,0.005608652495691209
0.01826826826826827,0.005558409106100235
0.01831831831831832,0.005508548025314936
0.01836836836836837,0.005459067514196655
0.018418418418418417,0.00540996581774567
0.018468468468468467,0.0053612411657645515
0.018518518518518517,0.0053128917735074735
0.018568568568568568,0.005264915842315714
0.018618618618618618,0.00521731156023962
0.01866866866866867,0.005170077102647243
0.01871871871871872,0.005123210632819898
0.01876876876876877,0.005076710302534865
0.01881881881881882,0.0050305742526354875
0.01886886886886887,0.004984800613588844
0.01891891891891892,0.0049393875060312654
0.01896896896896897,0.004894333041301878
0.01901901901901902,0.004849635321964401
0.019069069069069067,0.004805292442317402
0.019119119119119118,0.0047613024888932265
0.019169169169169168,0.004717663540945787
0.01921921921921922,0.004674373670927437
0.01926926926926927,0.004631430944955094
0.01931931931931932,0.00458883342326583
0.01936936936936937,0.004546579160662121
0.01941941941941942,0.004504666206946911
0.01946946946946947,0.004463092607348718
0.01951951951951952,0.004421856402936927
0.01956956956956957,0.004380955631027468
0.01961961961961962,0.00434038832557905
0.01966966966966967,0.004300152517580117
0.019719719719719718,0.004260246235426696
0.01976976976976977,0.004220667505291327
0.01981981981981982,0.004181414351483189
0.01986986986986987,0.004142484796799644
0.01991991991991992,0.004103876862869299
0.01996996996996997,0.004065588570486795
0.02002002002002002,0.0040276179399394325
0.02007007007007007,0.003989962991325811
0.02012012012012012,0.003952621744866623
0.02017017017017017,0.003915592221207744
0.02022022022022022,0.003878872441715772
0.02027027027027027,0.0038424604287661426
0.02032032032032032,0.0038063542060239796
0.020370370370370372,0.0037705517987177925
0.02042042042042042,0.0037350512339061766
0.02047047047047047,0.0036998505407376354
0.02052052052052052,0.00366494775070366
0.02057057057057057,0.003630340897885188
0.02062062062062062,0.003596028019192577
0.02067067067067067,0.0035620071545992035
0.02072072072072072,0.0035282763473688194
0.02077077077077077,0.003494833644276777
0.02082082082082082,0.0034616770958252495
0.02087087087087087,0.003428804756452547
0.020920920920920922,0.0033962146847366613
0.020970970970970972,0.0033639049435931316
0.021021021021021023,0.003331873600467353
0.02107107107107107,0.003300118727521434
