s,V_C
2.7802780278027802e-8,32.03840674689202
2.7902790279027904e-8,31.982390751211867
2.8002800280028002e-8,31.926430749125288
2.8102810281028104e-8,31.870526684661094
2.8202820282028203e-8,31.814678501904012
2.8302830283028304e-8,31.758886144994705
2.8402840284028403e-8,31.70314955812963
2.85028502850285e-8,31.647468685561066
2.8602860286028603e-8,31.591843471596988
2.8702870287028702e-8,31.53627386060105
2.8802880288028804e-8,31.48075979699253
2.8902890289028902e-8,31.42530122524625
2.9002900290029004e-8,31.369898089892537
2.9102910291029103e-8,31.31455033551716
2.9202920292029204e-8,31.259257906761313
2.9302930293029303e-8,31.204020748321483
2.94029402940294e-8,31.14883880494947
2.9502950295029503e-8,31.093712021452276
2.9602960296029602e-8,31.03864034269209
2.9702970297029704e-8,30.98362371358622
2.9802980298029806e-8,30.928662079107013
2.9902990299029904e-8,30.873755384281857
3.000300030003e-8,30.81890357419305
3.01030103010301e-8,30.764106593977814
3.02030203020302e-8,30.709364388828206
3.0303030303030305e-8,30.65467690399106
3.0403040304030403e-8,30.600044084767944
3.05030503050305e-8,30.545465876515117
3.06030603060306e-8,30.49094222464344
3.0703070307030706e-8,30.436473074618355
3.0803080308030804e-8,30.382058371959815
3.09030903090309e-8,30.327698062242227
3.1003100310031e-8,30.273392091094394
3.1103110311031106e-8,30.21914040419948
3.1203120312031205e-8,30.164942947294946
3.1303130313031303e-8,30.11079966617249
3.14031403140314e-8,30.056710506678
3.15031503150315e-8,30.002675414711483
3.1603160316031606e-8,29.948694336227035
3.1703170317031704e-8,29.89476721723279
3.18031803180318e-8,29.840894003790808
3.19031903190319e-8,29.787074642017124
3.2003200320032006e-8,29.73330907808159
3.2103210321032105e-8,29.67959725820789
3.2203220322032203e-8,29.62593912867346
3.23032303230323e-8,29.572334635809412
3.24032403240324e-8,29.518783726000557
3.2503250325032506e-8,29.465286345685243
3.2603260326032604e-8,29.41184244135539
3.27032703270327e-8,29.358451959556405
3.28032803280328e-8,29.305114846887122
3.2903290329032906e-8,29.25183104999975
3.3003300330033005e-8,29.19860051559983
3.3103310331033103e-8,29.14542319044618
3.32033203320332e-8,29.092299021350826
3.33033303330333e-8,29.039227955178973
3.3403340334033406e-8,28.986209938848944
3.3503350335033504e-8,28.933244919332097
3.36033603360336e-8,28.88033284365281
3.37033703370337e-8,28.827473658888437
3.3803380338033806e-8,28.774667312169207
3.3903390339033905e-8,28.721913750678198
3.4003400340034003e-8,28.669212921651315
3.41034103410341e-8,28.61656477237716
3.42034203420342e-8,28.563969250197047
3.4303430343034306e-8,28.511426302504937
3.4403440344034404e-8,28.458935876747383
3.45034503450345e-8,28.406497920423426
3.46034603460346e-8,28.354112381084633
3.4703470347034706e-8,28.30177920633499
3.4803480348034805e-8,28.24949834383083
3.4903490349034903e-8,28.197269741280834
3.5003500350035e-8,28.14509334644596
3.51035103510351e-8,28.092969107139353
3.5203520352035206e-8,28.04089697122636
3.5303530353035304e-8,27.98887688662441
3.54035403540354e-8,27.936908801303026
3.55035503550355e-8,27.884992663283704
3.5603560356035606e-8,27.833128420639937
3.5703570357035705e-8,27.781316021497084
3.5803580358035803e-8,27.72955541403239
3.59035903590359e-8,27.677846546474882
3.6003600360036e-8,27.626189367105347
3.6103610361036106e-8,27.57458382425628
3.6203620362036204e-8,27.523029866311788
3.63036303630363e-8,27.471527441707615
3.64036403640364e-8,27.42007649893103
3.6503650365036506e-8,27.368676986520782
3.6603660366036605e-8,27.31732885306708
3.6703670367036703e-8,27.266032047211517
3.68036803680368e-8,27.214786517647013
3.69036903690369e-8,27.16359221311781
3.7003700370037006e-8,27.112449082419317
3.7103710371037104e-8,27.061357074398202
3.72037203720372e-8,27.010316137952216
3.73037303730373e-8,26.95932622203022
3.7403740374037406e-8,26.908387275632087
3.7503750375037505e-8,26.857499247808676
3.7603760376037604e-8,26.806662087661785
3.77037703770377e-8,26.755875744344067
3.78037803780378e-8,26.70514016705902
3.7903790379037906e-8,26.65445530506092
3.8003800380038004e-8,26.603821107654753
3.81038103810381e-8,26.553237524196206
3.82038203820382e-8,26.50270450409156
3.8303830383038306e-8,26.45222199679769
3.8403840384038405e-8,26.401789951821968
3.8503850385038504e-8,26.35140831872227
3.86038603860386e-8,26.301077047106894
3.87038703870387e-8,26.250796086634473
3.8803880388038806e-8,26.200565387013995
3.8903890389038904e-8,26.15038489800471
3.9003900390039e-8,26.10025456941608
3.91039103910391e-8,26.050174351107763
3.9203920392039206e-8,26.000144192989495
3.9303930393039305e-8,25.950164045021126
3.9403940394039404e-8,25.90023385721249
3.95039503950395e-8,25.850353579623423
3.960396039603961e-8,25.800523162363653
3.9703970397039706e-8,25.750742555592794
3.9803980398039804e-8,25.70101170952028
3.99039903990399e-8,25.651330574405314
4.000400040004e-8,25.60169910055682
4.0104010401040106e-8,25.552117238333388
4.0204020402040205e-8,25.50258493814323
4.0304030403040304e-8,25.453102150444153
4.04040404040404e-8,25.403668825743438
4.050405040504051e-8,25.354284914597898
4.0604060406040606e-8,25.304950367613714
